date,depth,tn,tp,na,k,mg,ca,cl,so4,tn_flag,tp_flag,na_flag,k_flag,mg_flag,ca_flag,cl_flag,so4_flag
2012-01-12,1,0.02,0.12,4.6,2,10.5,69.6,6,20.2,,,,,,,,
2012-01-12,40,0.36,0.14,4.9,2.1,11.2,74,6.1,16.1,,,,,,,,
2012-02-17,1,,0.13,5.2,2.2,11.7,80,5.7,13.1,bdl,,,,,,,
2012-02-17,40,0.2,0.21,5.2,2.2,11.3,79.4,5.6,12.5,,,,,,,,
2012-03-12,1,0.61,0.1,2.5,2.4,5.4,37.8,3.8,8.7,,,,,,,,
2012-03-12,40,0.48,0.21,5,2.1,11.5,74.5,5.4,11.8,,,,,,,,
2012-04-06,1,0.36,0.11,4.5,2,10.3,70.5,5,11.3,,,,,,,,
2012-04-06,40,2.5,0.18,5.1,2.2,11.6,78.3,5.3,11.2,,,,,,,,
2012-05-06,1,0.62,0.03,4.6,2.1,10.9,63.6,5.2,11.5,,,,,,,,
2012-05-06,40,1.47,0.09,5,2.2,11.5,77.6,5.5,12.7,,,,,,,,
2012-06-15,1,0.47,0.05,4.4,1.9,10.2,62.4,5.1,11.1,,,,,,,,
2012-06-15,40,0.23,0.2,5.1,2.3,11.5,77.3,5.6,11.1,,,,,,,,
2012-07-19,1,2.02,0.05,4.3,2,10.3,58.4,5.2,11.6,,,,,,,,
2012-07-19,40,2.25,0.26,5,2.3,11.5,76.3,6.5,12.7,,,,,,,,
2012-08-29,1,0.98,0.04,4.4,1.9,10.5,61.6,5.3,11.2,,,,,,,,
2012-08-29,40,1.2,0.32,5,2.3,11.4,76,6.4,12.6,,,,,,,,
2012-09-24,1,0.47,0.03,4.55,1.9,10.7,65.9,5.1,10.8,,,,,,,,
2012-09-24,40,1.33,0.33,5.2,2.3,11.6,77.8,5.9,11.5,,,,,,,,
2012-10-24,1,1.55,0.06,4.6,2.1,10.8,69.6,5.1,10.8,,,,,,,,
2012-10-24,40,2.35,0.38,5.1,2.3,11.4,75.8,5.7,10.7,,,,,,,,
2012-11-20,1,1.26,0.07,4.3,2,10,67.2,5.2,11,,,,,,,,
2012-11-20,40,2.21,0.42,4.9,2.2,10.7,73.7,5.6,10,,,,,,,,
2013-01-18,1,1.98,0.05,3.62,2.14,10.11,74.91,4.19,,,,,,,,,bdl
2013-01-18,40,1.65,0.34,5.11,2.33,10.97,77.68,,,,,,,,,bdl,bdl
2013-02-21,1,2.79,0.06,3.36,1.87,9.82,72.8,3.73,10.6,,,,,,,,
2013-02-21,40,2.31,0.26,5.05,2.32,11.33,75.21,5.8,12.06,,,,,,,,
2013-03-18,1,,0.09,4.43,2.14,11.26,80.23,4.84,12.13,ND,,,,,,,
2013-03-18,40,,0.5,5.28,2.75,11.37,81.7,5.62,0.74,ND,,,,,,,
2013-04-22,1,2.98,0.07,5.19,1.1,4.16,60.29,8.13,21.56,,,,,,,,
2013-04-22,40,2.27,0.23,5.53,0.94,4.64,67.3,8.96,24.64,,,,,,,,
2013-06-06,1,0.59,0.03,3.61,2.17,9.4,51.16,5.11,11.25,,,,,,,,
2013-06-06,40,1.77,0.38,4.79,2.29,11.66,74.32,6.66,11.36,,,,,,,,
2013-06-29,1,1.41,0.04,3.53,2.06,9.66,52.26,5.06,10.7,,,,,,,,
2013-06-29,40,1.79,0.37,4.84,2.31,11.76,74.85,6.79,11.33,,,,,,,,
2013-07-24,1,0.46,0.04,3.61,1.93,10.91,60.81,7.19,14.82,,,,,,,,
2013-07-24,40,1.71,0.42,4.78,2.2,13.23,78.23,9.22,13.36,,,,,,,,
2013-08-27,1,0.93,0.03,3.67,1.94,8.01,57.56,5.71,12.04,,,,,,,,
2013-08-27,40,2.36,0.53,4.68,2.24,9.9,73.38,8.08,11.35,,,,,,,,
2013-09-27,1,4.45,0.02,3.91,2.17,9.74,64.91,7.01,13.15,,,,,,,,
2013-09-27,40,1.43,0.44,4.97,2.26,10.95,77.6,8.37,11.88,,,,,,,,
2013-10-13,1,3.07,0.05,4.11,2.41,7.21,68.95,6.45,13.78,,,,,,,,
2013-10-13,40,3.24,0.55,5.09,2.45,8.97,79.34,7.98,11.45,,,,,,,,
2013-11-18,1,1.18,0.05,2.78,1.88,7.25,57.23,6.59,8.97,,,,,,,,
2013-11-18,40,1.89,0.36,3.3,1.89,7.76,61.59,7.16,7.01,,,,,,,,
2013-12-19,1,2.42,0.1,4.51,2.42,13.14,76.21,6.02,11.31,,,,,,,,
2013-12-19,40,2.43,0.43,4.58,2.54,13.18,76.91,6.03,10.94,,,,,,,,
2014-02-09,1,8.31,0.1,4.54,2.61,9.63,80.32,5.71,11.08,,,,,,,,
2014-02-09,40,8.83,0.2,4.46,0.25,9.66,78.77,5.5,10.6,,,,,,,,
2014-03-06,1,3.4,0.11,4.03,2.33,6.78,72.69,4.68,11.03,,,,,,,,
2014-03-06,40,3.78,0.25,4.46,2.55,7.93,77.9,6.11,10.94,,,,,,,,
2014-04-16,1,2.25,0.05,4.13,2.34,11.29,75.65,4.28,9.98,,,,,,,,
2014-04-16,40,2.81,0.09,4.34,2.47,11.7,78.3,5.42,10.84,,,,,,,,
2014-05-23,1,1.75,0.05,4.35,2.36,8.56,59.81,6.08,12.71,,,,,,,,
2014-05-23,40,2.53,0.11,4.3,2.48,8.88,75.49,7.36,13.09,,,,,,,,
2014-06-24,1,1.63,0.04,4.39,2.29,12.4,63.15,5.94,13.37,,,,,,,,
2014-06-24,40,3.04,0.16,4.4,2.46,12.38,74.94,7.36,12.73,,,,,,,,
2014-07-21,1,0.6,0.04,4.72,2.31,12.21,58.8,7.51,14.28,,,,,,,,
2014-07-21,40,1.62,0.25,4.39,2.46,11.41,77.8,7.18,10.99,,,,,,,,
2014-08-27,1,2.11,0.05,4.71,2.26,11.07,58.61,7.5,15.2,,,,,,,,
2014-08-27,40,2.4,0.3,4.44,2.5,10.96,75.77,7.17,11.18,,,,,,,,
2014-09-29,1,1.04,0.07,4.88,2.15,11.12,63.89,7.72,13.54,,,,,,,,
2014-09-29,40,1.91,0.41,4.58,2.47,10.86,79.58,7.53,10.99,,,,,,,,
2014-10-30,1,1.67,0.04,4.65,2.41,11.86,68.82,8.22,15.6,,,,,,,,
2014-10-30,40,2.48,1.1,4.36,2.39,11.83,77.93,7.79,10.82,,,,,,,,
2014-11-28,1,1.42,0.04,4.92,2.46,11.49,75.32,7.59,13.94,,,,,,,,
2014-11-28,40,2.34,0.4,4.73,2.59,11.65,80.85,7.4,10.6,,,,,,,,
2014-12-22,1,2.05,0.06,4.72,2.35,11.39,71.62,6.59,12.41,,,,,,,,
2014-12-22,40,2.45,0.38,4.45,2.48,11.07,75.59,6.38,9.12,,,,,,,,
2015-01-26,1,2.41,0.07,3.86,2.36,10.03,67.21,6.26,24.14,,,,,,,,
2015-01-26,40,2.41,0.42,4.62,2.69,11.32,77.53,6.95,10.87,,,,,,,,
2015-03-18,1,1.19,0.07,4.67,2.32,11.26,72.68,7.18,15.52,,,,,,,,
2015-03-18,40,2.6,0.68,4.65,2.66,11.05,78.02,7.2,9.22,,,,,,,,
2015-04-27,1,1.36,0.05,4.12,2.04,10.04,67.3,5.05,12.99,,,,,,,,
2015-04-27,40,2.17,0.55,4.17,2.34,10.05,72.57,5.45,7.48,,,,,,,,
2015-05-27,1,1.51,0.05,4.75,2.28,11.39,64.17,6.15,16.62,,,,,,,,
2015-05-27,40,2.94,0.39,4.63,2.51,11.45,76.91,6.01,10.41,,,,,,,,
2015-06-24,1,1.41,0.03,4.65,2.14,11.07,58.73,2.75,11.91,,,,,,,,
2015-06-24,40,2.17,0.49,4.53,2.44,10.87,74.24,3.01,8.19,,,,,,,,
2015-08-07,1,,0.04,4.96,2.16,11.6,57.14,7.19,21.79,ND,,,,,,,
2015-08-07,40,,0.31,4.53,2.42,11.25,74.7,6.81,14.85,ND,,,,,,,
2015-09-09,1,1.43,0.04,5.17,2.23,11.97,58.22,5.8,21.55,,,,,,,,
2015-09-09,40,2.16,0.27,4.7,2.54,11.52,78.13,5.39,13.45,,,,,,,,
