date,depth,temp,sp_cond,do,p_h,chl_a,temp_flag,sp_cond_flag,do_flag,p_h_flag,chl_a_flag
2012-01-12,0.5,2.46,434,10.97,8.59,,,,,,ND
2012-01-12,1,2.46,434,10.74,8.5,,,,,,ND
2012-01-12,2,2.46,434,10.67,8.46,,,,,,ND
2012-01-12,3,2.45,434,10.6,8.42,,,,,,ND
2012-01-12,4,2.46,435,10.54,8.39,,,,,,ND
2012-01-12,5,2.45,435,10.49,8.36,,,,,,ND
2012-01-12,6,2.46,435,10.46,8.35,,,,,,ND
2012-01-12,7,2.46,435,10.41,8.33,,,,,,ND
2012-01-12,8,2.46,435,10.38,8.31,,,,,,ND
2012-01-12,9,2.47,435,10.35,8.29,,,,,,ND
2012-01-12,10,2.49,435,10.31,8.28,,,,,,ND
2012-01-12,11,2.5,435,10.25,8.27,,,,,,ND
2012-01-12,12,2.53,436,10.19,8.25,,,,,,ND
2012-01-12,13,2.57,436,10.12,8.24,,,,,,ND
2012-01-12,14,2.6,436,10.03,8.23,,,,,,ND
2012-01-12,15,2.6,436,9.93,8.22,,,,,,ND
2012-01-12,16,2.71,436,9.85,8.21,,,,,,ND
2012-01-12,17,2.7,436,9.77,8.2,,,,,,ND
2012-01-12,18,2.7,436,9.7,8.19,,,,,,ND
2012-01-12,19,2.71,436,9.63,8.18,,,,,,ND
2012-01-12,20,2.71,436,9.56,8.17,,,,,,ND
2012-01-12,21,2.7,436,9.5,8.17,,,,,,ND
2012-01-12,22,2.71,436,9.46,8.16,,,,,,ND
2012-01-12,23,2.72,436,9.42,8.15,,,,,,ND
2012-01-12,24,2.75,436,9.37,8.14,,,,,,ND
2012-01-12,25,2.75,437,9.34,8.14,,,,,,ND
2012-01-12,26,2.75,437,9.3,8.13,,,,,,ND
2012-01-12,27,2.75,437,9.24,8.12,,,,,,ND
2012-01-12,28,2.75,437,9.21,8.11,,,,,,ND
2012-01-12,29,2.75,437,9.17,8.11,,,,,,ND
2012-01-12,30,2.75,437,9.14,8.1,,,,,,ND
2012-01-12,31,2.75,438,9.11,8.09,,,,,,ND
2012-01-12,32,2.75,438,9.09,8.09,,,,,,ND
2012-01-12,33,2.75,438,9.06,8.08,,,,,,ND
2012-01-12,34,2.75,438,9.04,8.08,,,,,,ND
2012-01-12,35,2.8,438,8.97,8.07,,,,,,ND
2012-01-12,36,2.8,438,8.88,8.07,,,,,,ND
2012-01-12,37,2.8,438,8.84,8.06,,,,,,ND
2012-01-12,38,2.8,438,8.79,8.06,,,,,,ND
2012-01-12,39,2.8,438,8.77,8.05,,,,,,ND
2012-01-12,40,2.8,440,8.68,8.04,,,,,,ND
2012-02-17,0.5,1.69,459,11.32,8.22,,,,,,ND
2012-02-17,1,2.01,453,10.2,8.26,,,,,,ND
2012-02-17,2,2.21,450,9.74,8.27,,,,,,ND
2012-02-17,3,2.25,449,9.35,8.26,,,,,,ND
2012-02-17,4,2.25,449,9.06,8.21,,,,,,ND
2012-02-17,5,2.26,449,8.82,8.15,,,,,,ND
2012-02-17,6,2.27,449,8.64,8.14,,,,,,ND
2012-02-17,7,2.32,448,8.46,8.12,,,,,,ND
2012-02-17,8,2.39,447,8.2,8.1,,,,,,ND
2012-02-17,9,2.43,447,7.93,8.08,,,,,,ND
2012-02-17,10,2.45,447,7.71,8.06,,,,,,ND
2012-02-17,11,2.46,447,7.48,8.04,,,,,,ND
2012-02-17,12,2.48,448,7.12,8.01,,,,,,ND
2012-02-17,13,2.49,448,6.94,7.98,,,,,,ND
2012-02-17,14,2.51,448,6.69,7.96,,,,,,ND
2012-02-17,15,2.52,448,6.59,7.95,,,,,,ND
2012-02-17,16,2.54,448,6.41,7.93,,,,,,ND
2012-02-17,17,2.52,449,6.23,7.91,,,,,,ND
2012-02-17,18,2.51,450,6.16,7.9,,,,,,ND
2012-02-17,19,2.52,450,6.05,7.88,,,,,,ND
2012-02-17,20,2.52,450,5.94,7.86,,,,,,ND
2012-02-17,21,2.53,450,5.83,7.84,,,,,,ND
2012-02-17,22,2.5,452,5.74,7.83,,,,,,ND
2012-02-17,23,2.48,453,5.73,7.81,,,,,,ND
2012-02-17,24,2.49,453,5.69,7.8,,,,,,ND
2012-02-17,25,2.5,453,5.62,7.78,,,,,,ND
2012-02-17,26,2.5,453,5.52,7.77,,,,,,ND
2012-02-17,27,2.47,455,5.47,7.76,,,,,,ND
2012-02-17,28,2.44,456,5.43,7.74,,,,,,ND
2012-02-17,29,2.44,457,5.37,7.73,,,,,,ND
2012-02-17,30,2.46,456,5.33,7.72,,,,,,ND
2012-02-17,31,2.47,457,5.29,7.7,,,,,,ND
2012-02-17,32,2.48,457,5.2,7.68,,,,,,ND
2012-02-17,33,2.49,458,5.12,7.67,,,,,,ND
2012-02-17,34,2.5,458,5.04,7.66,,,,,,ND
2012-02-17,35,2.5,459,4.93,7.66,,,,,,ND
2012-02-17,36,2.53,460,4.72,7.65,,,,,,ND
2012-02-17,37,2.56,462,4.42,7.63,,,,,,ND
2012-02-17,38,2.6,465,3.93,7.61,,,,,,ND
2012-02-17,39,2.65,468,3.03,7.6,,,,,,ND
2012-02-17,40,2.72,476,2.25,7.59,,,,,,ND
2012-03-12,0.5,1.31,218,13.66,8.69,,,,,,ND
2012-03-12,1,2.34,226,12.74,8.39,,,,,,ND
2012-03-12,2,2.39,443,10.62,8.07,,,,,,ND
2012-03-12,3,2.45,447,8.93,7.99,,,,,,ND
2012-03-12,4,2.45,448,7.66,7.9,,,,,,ND
2012-03-12,5,2.45,448,6.82,7.85,,,,,,ND
2012-03-12,6,2.46,448,6.22,7.82,,,,,,ND
2012-03-12,7,2.45,450,5.75,7.8,,,,,,ND
