date,days,mar,tc,toc,tic,tn,ts,mar_flag,tc_flaf,toc_flag,tic_flag,tn_flag,ts_flag
2012-05-05,,,,,,,,ND,ND,ND,ND,ND,ND
2012-06-15,41,2.04,13.94,8.77,5.17,0.94,0.31,,,,,,
2012-07-19,34,1.17,17.16,7.36,9.8,1.23,0.4,,,,,,
2012-08-29,41,0.93,22.91,13.73,9.18,2.57,0.71,,,,,,
2012-09-24,26,0.42,30.76,25.77,4.98,4.51,1.44,,,,,,
2012-10-24,30,0.42,28.12,24.16,3.96,3.91,1.29,,,,,,
2012-11-20,27,0.67,22.97,17.02,5.96,2.42,1.22,,,,,,
2013-04-22,153,0.26,23.6,20.43,3.17,3.05,2.59,,,,,,
2013-06-06,45,2.13,19.35,14.43,4.92,2.16,0.81,,,,,,
2013-06-29,23,3.44,17.75,8.26,9.48,1.39,0.34,,,,,,
2013-07-24,25,0.94,23.03,15.13,7.9,2.51,0.96,,,,,,
2013-08-27,34,0.25,29.83,23.83,6,3.87,1.13,,,,,,
2013-09-27,31,0.64,24.57,15.41,9.15,2.79,0.69,,,,,,
2013-10-12,15,0.77,28.8,23.67,5.14,4.21,1.33,,,,,,
2013-11-18,37,1.52,22.6,17.14,5.47,2.76,1.61,,,,,,
2013-12-19,31,2.71,23.32,20.36,2.95,3.04,2.06,,,,,,
2014-01-25,37,3.5,,,,,,,ND,ND,ND,ND,ND
2014-03-28,62,0.48,16.59,14.01,2.58,1.46,0.47,,,,,,
2014-05-23,56,5.98,15.54,11.99,3.55,1.04,0.2,,,,,,
2014-06-24,32,1.71,18.06,15.84,2.22,1.91,0.29,,,,,,
2014-07-21,27,3.08,17.97,14.76,3.21,1.71,0.27,,,,,,
2014-08-27,37,2.27,20.19,15.6,4.59,1.96,0.22,,,,,,
2014-09-29,33,0.95,23.54,19.82,3.72,2.79,0.4,,,,,,
2014-10-30,31,0.72,24.71,21.42,3.29,3.03,0.8,,,,,,
2014-11-28,29,1.15,24.59,21.89,2.7,3.24,0.6,,,,,,
2014-12-22,24,0.63,20.86,19.4,1.46,2.42,0.65,,,,,,
2015-03-18,86,0.41,21.67,20.43,1.24,2.44,1.32,,,,,,
2015-04-27,40,4.15,18.59,16.81,1.78,1.95,0.83,,,,,,
2015-05-27,30,4.4,15.11,8.47,6.64,1.07,0.28,,,,,,
2015-06-24,28,1.43,18.33,16.09,2.24,1.85,0.48,,,,,,
