day,temp_01,temp_10,temp_20,temp_30,temp_40
2012-01-01,2.82,2.93,3.06,2.98,3.01
2012-01-02,2.69,2.91,3.06,2.99,3.01
2012-01-03,2.75,2.91,3.06,3,3.01
2012-01-04,2.74,2.82,3,2.97,3.01
2012-01-05,2.74,2.8,2.87,2.82,2.87
2012-01-06,2.68,2.74,2.83,2.77,2.8
2012-01-07,2.52,2.63,2.77,2.75,2.8
2012-01-08,2.47,2.56,2.76,2.75,2.8
2012-01-09,2.47,2.55,2.75,2.76,2.8
2012-01-10,2.4,2.56,2.77,2.75,2.79
2012-01-11,2.34,2.57,2.78,2.75,2.8
2012-01-12,2.32,2.54,2.76,2.75,2.79
2012-01-13,2.42,2.48,2.62,2.67,2.75
2012-01-14,2.13,2.32,2.59,2.64,2.75
2012-01-15,1.62,2.26,2.6,2.62,2.75
2012-01-16,1.27,2.27,2.62,2.63,2.75
2012-01-17,1.33,2.23,2.62,2.63,2.75
2012-01-18,1.39,2.27,2.6,2.63,2.75
2012-01-19,1.38,2.3,2.59,2.64,2.75
2012-01-20,1.44,2.3,2.59,2.61,2.75
2012-01-21,1.52,2.2,2.6,2.6,2.75
2012-01-22,1.55,2.25,2.59,2.61,2.74
2012-01-23,1.59,2.32,2.6,2.66,2.74
2012-01-24,1.62,2.36,2.61,2.64,2.72
2012-01-25,1.67,2.36,2.61,2.62,2.71
2012-01-26,1.71,2.36,2.63,2.68,2.7
2012-01-27,1.71,2.37,2.61,2.65,2.71
2012-01-28,1.73,2.38,2.63,2.63,2.69
2012-01-29,1.76,2.4,2.63,2.63,2.69
2012-01-30,1.84,2.44,2.62,2.63,2.67
2012-01-31,1.92,2.45,2.63,2.6,2.66
2012-02-01,1.95,2.45,2.7,2.61,2.69
2012-02-02,1.98,2.47,2.7,2.64,2.64
2012-02-03,2.02,2.47,2.66,2.62,2.67
2012-02-04,2.05,2.47,2.68,2.56,2.65
2012-02-05,2.09,2.47,2.64,2.54,2.66
2012-02-06,2.13,2.46,2.63,2.54,2.65
2012-02-07,2.15,2.46,2.64,2.53,2.63
2012-02-08,2.2,2.47,2.65,2.53,2.61
2012-02-09,2.22,2.47,2.61,2.49,2.61
2012-02-10,2.24,2.38,2.6,2.49,2.61
2012-02-11,2.25,2.35,2.6,2.47,2.63
2012-02-12,2.27,2.31,2.57,2.44,2.63
2012-02-13,2.25,2.39,2.57,2.45,2.64
2012-02-14,2.25,2.42,2.53,2.42,2.64
2012-02-15,2.16,2.42,2.53,2.43,2.63
2012-02-16,2.16,2.43,2.55,2.43,2.63
2012-02-17,2.14,2.44,2.53,2.42,2.64
2012-02-18,2.09,2.41,2.48,2.41,2.63
2012-02-19,2.03,2.43,2.5,2.4,2.63
2012-02-20,1.98,2.41,2.54,2.39,2.62
2012-02-21,1.9,2.43,2.54,2.38,2.61
2012-02-22,1.85,2.4,2.47,2.37,2.62
2012-02-23,1.83,2.41,2.48,2.38,2.61
2012-02-24,1.68,2.4,2.48,2.37,2.62
2012-02-25,1.17,2.36,2.48,2.38,2.6
2012-02-26,1.27,2.38,2.44,2.38,2.58
2012-02-27,1.4,2.39,2.46,2.38,2.61
2012-02-28,1.64,2.39,2.45,2.37,2.61
2012-02-29,1.76,2.38,2.45,2.38,2.59
2012-03-01,1.82,2.37,2.44,2.38,2.59
2012-03-02,1.96,2.37,2.47,2.38,2.61
2012-03-03,2.23,2.37,2.44,2.39,2.61
2012-03-04,2.66,2.37,2.47,2.39,2.61
2012-03-05,3.2,2.37,2.45,2.4,2.61
2012-03-06,3.44,2.37,2.44,2.4,2.61
2012-03-07,3.38,2.37,2.46,2.41,2.62
2012-03-08,3.41,2.38,2.47,2.4,2.61
2012-03-09,3.57,2.4,2.46,2.42,2.62
2012-03-10,3.48,2.4,2.45,2.42,2.62
2012-03-11,3.6,2.4,2.45,2.42,2.63
2012-03-12,3.62,2.42,2.45,2.42,2.63
2012-03-13,3.65,2.43,2.47,2.42,2.63
2012-03-14,3.47,2.47,2.48,2.42,2.63
2012-03-15,3.56,2.46,2.48,2.42,2.64
2012-03-16,3.74,2.45,2.48,2.44,2.64
2012-03-17,4.21,2.47,2.5,2.47,2.63
2012-03-18,4.22,2.48,2.48,2.47,2.62
2012-03-19,4.22,2.57,2.48,2.45,2.64
2012-03-20,4.64,2.6,2.48,2.45,2.66
2012-03-21,4.78,2.58,2.56,2.53,2.67
2012-03-22,4.88,2.59,2.62,2.57,2.66
2012-03-23,4.83,2.6,2.62,2.58,2.64
2012-03-24,4.59,2.62,2.57,2.53,2.65
2012-03-25,4.64,2.63,2.63,2.54,2.66
2012-03-26,4.73,2.64,2.7,2.63,2.66
2012-03-27,4.91,2.67,2.74,2.68,2.66
2012-03-28,4.45,2.71,2.76,2.61,2.66
2012-03-29,3.45,3.06,2.91,2.74,2.65
2012-03-30,3.49,3.13,2.94,2.76,2.67
2012-03-31,3.57,3.2,3,2.79,2.68
2012-04-01,3.55,3.41,3.02,2.82,2.69
2012-04-02,3.45,3.45,3.04,2.83,2.7
2012-04-03,3.47,3.51,3.12,2.82,2.72
2012-04-04,3.5,3.57,3.31,2.83,2.72
2012-04-05,3.59,3.61,3.54,2.83,2.72
2012-04-06,3.79,3.7,3.65,2.83,2.72
2012-04-07,4.01,3.85,3.61,2.84,2.72
2012-04-08,3.89,3.96,3.73,2.84,2.73
2012-04-09,3.97,3.9,3.82,2.84,2.74
2012-04-10,4.07,4.07,3.8,2.85,2.74
2012-04-11,4.28,4.26,3.91,2.87,2.74
